numero_police,date_edition,date_effet,date_echeance,numero_immatriculation,statut_contrat,entite,type_intermediaire
POL174564,2021-11-03,2023-04-04,2024-10-31,8CWM 33,annulé,akwaba,direct
POL403252,2022-06-16,2024-06-03,2024-08-11,033AK,annulé,yako,agent
POL538398,2022-04-11,2023-11-18,2024-09-19,HCG-302,expiré,akwaba,direct
POL340843,2022-01-15,2024-10-28,2025-07-18,9BE 839,annulé,yako,courtier
POL326031,2020-02-08,2022-09-27,2023-02-14,0AK6756,annulé,akwaba,direct
POL833775,2023-05-14,2023-12-28,2024-04-03,Q 216549,annulé,akwaba,courtier
POL157846,2021-10-11,2022-06-17,2025-02-22,39-90674,annulé,akwaba,direct
POL904336,2022-09-03,2023-02-07,2025-04-12,BJQ A57,expiré,akwaba,courtier
POL929272,2024-05-26,2025-09-19,2025-09-22,Y41-WCJ,valide,yako,courtier
POL476570,2023-06-11,2025-04-14,2025-06-13,LFL 774,annulé,yako,direct
POL943998,2023-11-08,2025-08-21,2025-09-05,67-CY95,expiré,akwaba,agent
POL417273,2021-12-01,2022-04-13,2023-12-03,2IL 390,suspendu,akwaba,agent
POL907620,2020-11-24,2021-04-17,2023-07-11,2P 2P3ZHM,valide,yako,courtier
POL084887,2024-07-23,2025-03-21,2025-04-28,WLQ 296,suspendu,akwaba,agent
POL731876,2020-04-23,2024-09-30,2025-04-19,990 KOS,valide,akwaba,agent
POL567766,2024-08-02,2024-09-19,2025-07-09,0LY8104,valide,yako,direct
POL094342,2021-04-05,2022-06-23,2024-12-09,645LQ,expiré,akwaba,courtier
POL425632,2022-07-21,2025-01-17,2025-04-23,715 XLM,valide,akwaba,direct
POL503300,2023-11-05,2024-03-18,2024-05-26,891 0RW,annulé,yako,direct
POL216444,2021-09-25,2025-03-09,2025-07-01,510MTU,expiré,yako,direct
POL723496,2022-04-02,2024-10-10,2025-06-14,491 DTT,valide,yako,direct
POL539926,2021-10-09,2023-05-19,2025-07-25,202 MJS,annulé,yako,courtier
POL767878,2022-02-15,2025-01-23,2025-06-01,7YL T52,annulé,yako,agent
POL237547,2022-06-09,2024-01-19,2024-10-15,9Y 9612C,annulé,yako,courtier
POL049223,2023-11-29,2025-03-21,2025-07-15,462-LJQ,annulé,yako,courtier
POL651122,2019-11-22,2022-08-18,2023-12-12,0290,annulé,yako,direct
POL638523,2020-05-07,2021-08-11,2024-11-07,57-0310D,expiré,yako,agent
POL664076,2023-10-23,2023-11-12,2024-03-16,619-MVY,expiré,yako,courtier
POL678243,2021-04-15,2021-04-24,2023-08-05,PI 1551,annulé,akwaba,agent
POL904838,2021-05-29,2022-04-16,2025-05-19,J52 8EW,suspendu,yako,direct
POL176567,2023-03-21,2024-12-11,2024-12-28,5-91676,valide,yako,agent
POL345588,2020-03-08,2022-12-13,2024-02-27,VV8 0364,suspendu,yako,courtier
POL932163,2020-07-11,2022-09-22,2023-11-27,4-P1116,expiré,yako,agent
POL743120,2024-07-14,2025-04-23,2025-04-29,208BRI,expiré,yako,agent
POL979196,2023-03-02,2024-10-03,2025-06-16,NVT-7518,valide,akwaba,agent
POL478941,2021-12-13,2022-01-03,2024-12-19,5RC 127,expiré,akwaba,agent
POL792995,2019-11-24,2024-09-27,2025-02-13,544191,expiré,yako,courtier
POL369033,2021-02-24,2025-05-09,2025-08-22,085TV,expiré,akwaba,direct
POL568146,2023-06-08,2023-08-03,2025-08-06,40H 0152,suspendu,yako,courtier
POL499869,2019-12-09,2020-02-26,2021-09-10,6UQ0505,expiré,akwaba,agent
POL973446,2021-05-02,2024-09-02,2025-06-14,46-2069F,suspendu,yako,courtier
POL942477,2021-12-14,2023-02-21,2025-01-08,68K•497,valide,akwaba,agent
POL775270,2019-09-30,2025-02-24,2025-08-23,LXO 618,suspendu,akwaba,direct
POL366451,2023-06-26,2024-10-01,2025-02-17,PLO 219,valide,akwaba,courtier
POL133074,2020-07-26,2020-10-20,2025-09-14,MT-4022,annulé,yako,direct
POL915596,2023-07-28,2024-12-29,2025-08-31,TBN 954,annulé,akwaba,direct
POL427697,2022-02-06,2024-01-05,2025-02-14,KXF-823,suspendu,yako,courtier
POL487989,2023-07-29,2023-12-24,2024-02-05,269-UEC,expiré,akwaba,courtier
POL908806,2021-08-09,2024-09-10,2024-09-12,K34 8LN,suspendu,akwaba,direct
POL179231,2022-03-17,2023-04-18,2023-07-19,W28 0JK,expiré,akwaba,agent
POL414122,2024-03-28,2025-08-16,2025-08-31,42WG8,expiré,akwaba,agent
POL195404,2023-04-17,2023-11-24,2024-05-15,24T U75,annulé,yako,direct
POL746667,2020-03-05,2024-02-26,2024-10-10,HSL 349,suspendu,yako,direct
POL952342,2020-03-19,2023-11-28,2025-09-07,AR 4049,suspendu,yako,courtier
POL944166,2020-09-05,2022-06-25,2023-06-17,652 DSI,suspendu,akwaba,direct
POL681615,2023-05-13,2025-09-18,2025-09-19,695BDN,suspendu,akwaba,agent
POL014422,2020-10-21,2023-07-22,2024-01-21,ZZK-882,annulé,akwaba,courtier
POL901281,2020-05-30,2024-12-05,2025-09-05,695 MBW,annulé,akwaba,courtier
POL324037,2022-02-07,2023-10-21,2025-01-17,O93-38W,annulé,akwaba,agent
POL153508,2021-06-18,2024-12-01,2024-12-05,ZGQ 179,annulé,akwaba,courtier
POL331732,2020-02-01,2023-04-26,2023-05-28,277 UEX,expiré,akwaba,direct
POL463684,2021-09-14,2024-12-06,2025-02-02,KAK 058,valide,akwaba,courtier
POL663875,2023-07-30,2024-11-30,2025-04-22,YR9 3653,expiré,yako,courtier
POL809030,2023-08-15,2025-07-11,2025-08-28,7TR Z51,suspendu,yako,direct
POL345729,2024-08-22,2025-02-13,2025-03-23,327-HYE,annulé,yako,direct
POL004563,2021-02-14,2021-06-23,2024-12-21,0C HH919,annulé,akwaba,agent
POL295211,2022-01-24,2024-04-21,2024-12-04,3806 NV,expiré,akwaba,courtier
POL351809,2020-02-25,2021-06-02,2024-12-30,HBU 008,annulé,yako,courtier
POL123948,2022-04-18,2025-06-24,2025-08-19,684Z,valide,yako,agent
POL007660,2020-06-18,2022-12-07,2025-02-26,612 WDY,valide,yako,agent
POL093352,2022-01-27,2024-05-29,2025-03-04,06V PT3,valide,akwaba,agent
POL853152,2023-11-10,2024-05-10,2025-07-24,8-6694Z,valide,akwaba,agent
POL622436,2021-04-08,2024-10-30,2025-07-28,38-99079,annulé,akwaba,agent
POL265580,2020-06-14,2023-09-25,2025-05-19,12U 4288,suspendu,yako,courtier
POL906343,2020-06-01,2024-11-12,2025-09-17,DOU-223,suspendu,akwaba,courtier
POL812397,2020-08-17,2022-10-16,2023-09-28,ICO-1060,suspendu,akwaba,agent
POL690304,2021-01-08,2021-02-19,2024-07-12,9R DJ968,valide,akwaba,courtier
POL943179,2023-11-25,2024-09-19,2025-02-15,284MV,suspendu,akwaba,direct
POL900744,2022-04-03,2022-05-13,2024-03-12,2CY 528,expiré,akwaba,direct
POL410695,2021-01-27,2021-12-29,2023-12-06,11-6339T,expiré,akwaba,agent
POL280590,2022-10-17,2023-04-15,2024-11-28,69J 0460,suspendu,yako,direct
POL086740,2020-04-12,2022-09-03,2025-07-19,18-99658,suspendu,yako,courtier
POL479023,2020-03-11,2025-02-23,2025-05-08,HQA 328,suspendu,yako,direct
POL269568,2020-08-12,2022-06-29,2023-02-11,6VRH612,expiré,akwaba,agent
POL241820,2022-10-06,2022-12-03,2024-06-16,618TPB,annulé,yako,direct
POL931144,2023-11-02,2024-10-04,2024-10-22,LAD 056,expiré,akwaba,agent
POL416128,2022-11-24,2024-11-14,2025-09-18,95-97755,expiré,akwaba,agent
POL857034,2021-09-24,2022-02-07,2024-08-08,Y18 2UU,expiré,yako,courtier
POL950359,2019-09-30,2020-07-18,2021-10-12,0FP6998,suspendu,akwaba,direct
POL383012,2022-10-21,2023-12-04,2024-11-22,L39-EOW,valide,yako,agent
POL035427,2020-11-13,2025-08-28,2025-09-02,65I O54,expiré,yako,agent
POL751628,2023-09-23,2024-11-29,2025-09-16,74G A81,valide,yako,agent
POL344274,2020-06-25,2023-12-02,2025-03-01,4-0024A,expiré,yako,direct
POL839539,2020-06-20,2024-01-05,2025-04-04,NJO7086,suspendu,akwaba,courtier
POL505710,2024-02-26,2025-02-03,2025-04-15,29-X587,suspendu,yako,direct
POL447510,2021-02-28,2023-01-16,2025-05-14,WLR 206,annulé,yako,direct
POL728918,2020-06-09,2022-08-20,2023-07-30,BSG-9239,annulé,yako,direct
POL319355,2024-05-22,2024-12-26,2025-06-22,PFW9032,valide,akwaba,courtier
POL787380,2020-05-24,2024-07-30,2025-05-26,LMX-3681,suspendu,akwaba,agent
POL631768,2023-07-18,2025-05-02,2025-06-27,887KH,suspendu,akwaba,direct
POL411917,2020-06-28,2021-08-21,2023-08-04,EV6 5836,expiré,yako,courtier
POL564309,2020-04-19,2023-08-24,2024-01-24,096 4FA,suspendu,akwaba,agent
POL699762,2024-08-12,2025-08-11,2025-08-27,MZI 095,valide,akwaba,direct
POL828913,2020-08-22,2024-01-15,2025-01-31,HWD 407,suspendu,yako,direct
POL306360,2023-06-30,2024-09-10,2025-09-15,AML-5634,annulé,akwaba,direct
POL897952,2023-11-04,2024-04-16,2024-06-08,LBH 466,valide,yako,direct
POL080289,2021-11-03,2023-07-12,2024-05-30,95UT452,valide,yako,direct
POL582984,2021-12-26,2023-07-05,2025-06-06,MU-9142,expiré,yako,courtier
POL032289,2023-09-01,2023-10-17,2024-01-20,5D151,expiré,akwaba,agent
POL799515,2020-02-20,2025-09-14,2025-09-17,512-HRI,annulé,yako,agent
POL770996,2019-10-23,2022-12-31,2024-11-13,GPT2500,valide,akwaba,courtier
POL117719,2021-06-08,2022-09-25,2022-11-06,E 877547,valide,yako,courtier
POL522996,2023-08-07,2024-06-25,2025-07-09,935 SV3,suspendu,akwaba,courtier
POL498627,2023-03-08,2025-01-02,2025-01-14,EOC E56,expiré,yako,courtier
POL393083,2024-03-22,2024-07-03,2025-07-03,197 GOU,suspendu,akwaba,courtier
POL378048,2023-08-30,2024-01-21,2024-07-06,32DT5,annulé,yako,courtier
POL256693,2024-03-24,2024-04-18,2024-08-22,9VS 789,valide,yako,direct
POL712359,2023-11-22,2024-02-21,2024-05-07,U14 0CN,expiré,akwaba,direct
POL954246,2023-03-12,2023-09-22,2025-08-09,HQN 028,expiré,akwaba,courtier
POL462591,2019-11-16,2025-06-12,2025-07-07,9Q043,expiré,yako,direct
POL355300,2023-01-21,2024-08-05,2025-04-17,1-71429A,suspendu,akwaba,agent
POL752767,2023-08-10,2025-09-24,2025-09-24,123343,annulé,akwaba,agent
POL425272,2023-12-06,2023-12-10,2024-07-13,2ER7703,expiré,akwaba,courtier
POL351385,2023-07-22,2025-04-04,2025-07-22,467-OMG,valide,akwaba,direct
POL129232,2024-07-12,2025-09-09,2025-09-15,WPH 326,valide,yako,direct
POL595468,2020-11-10,2022-04-10,2023-01-24,469-NVAI,annulé,yako,agent
POL819846,2022-11-26,2025-07-24,2025-08-03,432-157,suspendu,yako,direct
POL057133,2020-03-07,2023-12-22,2025-04-20,101-REK,suspendu,yako,direct
POL430097,2024-02-10,2024-10-10,2025-09-23,LIE 038,valide,yako,agent
POL758791,2020-12-22,2022-06-23,2025-08-17,859 GY3,valide,yako,courtier
POL969175,2021-12-24,2023-04-02,2024-10-07,ZIT-426,suspendu,yako,courtier
POL284111,2023-02-11,2024-04-29,2024-11-09,1268 GO,expiré,akwaba,courtier
POL232678,2022-06-23,2025-09-23,2025-09-24,UV-5418,annulé,yako,direct
POL592821,2019-11-06,2022-03-10,2024-05-22,9P 51123,valide,yako,agent
POL185227,2021-03-24,2021-04-01,2022-05-28,FVP 705,annulé,akwaba,agent
POL573727,2021-01-10,2025-02-08,2025-07-16,HEK 104,annulé,yako,direct
POL376618,2023-03-19,2024-01-25,2024-03-13,KQ-6964,expiré,akwaba,agent
POL077792,2019-12-19,2021-07-14,2024-03-30,DS 86001,expiré,yako,courtier
POL600752,2022-01-05,2022-09-24,2023-09-12,919-QXY,valide,akwaba,courtier
POL092170,2020-04-22,2024-07-21,2025-07-24,HIR-8776,valide,akwaba,direct
POL608554,2023-12-22,2025-04-18,2025-05-28,872-641,annulé,akwaba,direct
POL877435,2023-04-16,2023-06-06,2024-09-13,090-CMA,valide,yako,courtier
POL989473,2024-08-29,2024-11-03,2024-12-16,GBY-2365,suspendu,akwaba,direct
POL504672,2024-08-25,2024-12-02,2025-02-15,LIM-6580,expiré,akwaba,courtier
POL471077,2024-02-23,2024-05-07,2025-02-18,539-BFV,annulé,akwaba,agent
POL370502,2024-05-09,2025-04-09,2025-09-11,309DJ,suspendu,yako,courtier
POL793057,2023-05-29,2025-04-17,2025-07-07,245-TUL,annulé,yako,courtier
POL545936,2023-01-25,2025-03-03,2025-08-11,64-X207,annulé,akwaba,courtier
POL833889,2023-12-05,2025-08-10,2025-09-22,334 XCT,annulé,yako,agent
POL715307,2023-03-27,2024-10-10,2025-05-04,328-IVIL,expiré,akwaba,courtier
POL476501,2020-11-01,2021-06-20,2022-03-11,41HT097,annulé,yako,direct
POL128769,2020-08-05,2023-01-27,2025-05-11,UQ 48515,suspendu,akwaba,courtier
POL857902,2019-11-01,2023-09-27,2025-01-27,408 SG5,suspendu,yako,agent
POL621335,2021-10-30,2022-01-28,2025-08-01,0CJ17,annulé,akwaba,courtier
POL288202,2021-05-15,2025-07-18,2025-09-03,194 JJS,annulé,akwaba,agent
POL388005,2023-06-08,2023-08-26,2025-05-26,HDW-9258,expiré,akwaba,direct
POL463310,2022-06-23,2022-08-16,2022-12-14,WE 7815,suspendu,yako,direct
POL435358,2021-05-31,2025-01-18,2025-01-24,186HEJ,valide,yako,direct
POL700772,2022-08-05,2022-08-16,2022-11-23,9U949,annulé,akwaba,agent
POL567567,2022-11-11,2024-02-09,2025-02-22,2549,annulé,yako,direct
POL704569,2021-01-17,2021-08-28,2024-03-30,35-J198,expiré,yako,direct
POL316585,2023-12-31,2025-05-12,2025-07-02,280 TPB,annulé,akwaba,courtier
POL616366,2024-08-20,2025-06-23,2025-09-09,203-IAO,valide,akwaba,agent
POL891335,2020-02-01,2020-12-09,2024-03-06,289T,valide,yako,courtier
POL849602,2020-05-19,2020-08-28,2024-12-24,U 004860,valide,yako,courtier
POL784754,2022-07-23,2024-09-13,2024-10-29,2-7561K,suspendu,akwaba,courtier
POL720113,2023-11-07,2024-01-07,2024-06-15,RSW0479,valide,yako,direct
POL063303,2020-08-29,2021-04-14,2023-03-05,250-YUC,suspendu,yako,agent
POL864354,2020-11-10,2022-03-22,2024-07-03,ZEI-3154,expiré,akwaba,direct
POL147396,2020-06-27,2020-12-28,2025-05-12,DL 3663,expiré,akwaba,agent
POL615644,2023-09-16,2025-05-07,2025-07-22,OJN 914,annulé,akwaba,agent
POL295794,2020-09-06,2021-02-13,2023-02-23,188 SIG,expiré,akwaba,agent
POL339005,2023-11-27,2025-09-02,2025-09-09,XKV6200,annulé,yako,courtier
POL027572,2022-08-24,2023-06-16,2025-08-28,JMU-9629,annulé,akwaba,direct
POL803808,2020-03-06,2023-05-24,2024-09-12,282 0IN,expiré,akwaba,agent
POL022962,2022-04-27,2024-06-09,2024-09-28,110 LC4,valide,akwaba,agent
POL210115,2020-11-11,2021-03-10,2025-02-04,MWS-5703,expiré,yako,agent
POL239027,2023-04-01,2024-08-22,2024-12-22,MEE 052,suspendu,akwaba,agent
POL824563,2020-01-21,2024-12-07,2025-05-22,069 2ZO,valide,yako,courtier
POL523548,2021-08-09,2022-05-07,2023-11-23,YHZ0892,suspendu,akwaba,courtier
POL600851,2023-08-05,2025-04-04,2025-08-19,7PU O55,valide,akwaba,agent
POL483426,2023-08-23,2023-09-21,2025-02-19,620JD,valide,akwaba,agent
POL830773,2024-04-02,2025-05-24,2025-08-08,62U S00,expiré,akwaba,direct
POL738503,2022-08-27,2023-04-28,2025-09-10,0GD8084,valide,akwaba,direct
POL306228,2021-07-05,2023-05-06,2024-04-27,418 6US,valide,yako,direct
POL655044,2024-08-30,2024-10-31,2024-11-07,557-WTV,annulé,akwaba,courtier
POL325304,2023-10-09,2024-04-24,2025-07-06,0667 CC,valide,akwaba,agent
POL515758,2021-11-11,2025-01-17,2025-05-17,0-T2753,valide,yako,courtier
POL549559,2020-08-28,2025-08-15,2025-09-16,QPH-3792,valide,yako,courtier
POL031846,2024-07-25,2024-09-08,2025-01-01,7RNP670,annulé,akwaba,agent
POL870251,2019-12-26,2022-10-04,2024-12-27,CDM S60,suspendu,yako,courtier
POL178449,2022-12-19,2025-01-19,2025-07-03,LPV-3540,annulé,akwaba,agent
POL567694,2023-05-11,2025-04-18,2025-06-28,210 MUW,valide,akwaba,direct
POL395482,2021-01-30,2025-06-11,2025-06-23,15-DY27,annulé,akwaba,agent
POL491685,2024-08-25,2025-06-21,2025-07-13,620 IVQ,valide,akwaba,direct
POL997961,2022-06-28,2023-05-09,2023-12-05,37-A891,valide,akwaba,direct
POL468372,2023-08-13,2025-03-17,2025-09-23,85-P017,suspendu,akwaba,courtier
POL471427,2020-03-14,2022-02-02,2022-05-07,013 ZJC,annulé,akwaba,direct
POL584133,2021-10-14,2022-12-18,2023-03-25,61YH197,expiré,akwaba,direct
POL772961,2021-04-04,2025-05-25,2025-06-03,D09 7VH,annulé,akwaba,courtier
POL276037,2020-09-22,2025-07-03,2025-07-20,4YK 616,suspendu,yako,courtier
POL617377,2021-05-11,2024-08-04,2025-01-06,28-3726A,valide,yako,direct
POL796106,2024-08-30,2025-01-19,2025-09-07,KME 448,suspendu,akwaba,direct
POL094391,2022-03-30,2022-12-28,2025-01-17,56CA9,suspendu,yako,courtier
POL600432,2022-12-25,2023-03-20,2024-09-24,721-NMO,valide,akwaba,direct
POL636239,2019-12-04,2020-07-31,2023-07-02,5N E5393,suspendu,yako,direct
POL422953,2021-07-03,2021-10-09,2024-04-11,9257,suspendu,yako,agent
POL531243,2021-08-14,2024-11-01,2025-01-02,6-87352,expiré,yako,agent
POL308285,2023-08-14,2024-07-15,2025-06-09,176-HMZ,expiré,akwaba,direct
POL000484,2023-03-21,2023-09-05,2025-03-07,7460 JG,expiré,yako,agent
POL920102,2023-03-19,2024-09-04,2024-11-17,214 WQV,suspendu,akwaba,courtier
POL503931,2020-09-16,2023-10-04,2024-04-28,980I,annulé,akwaba,agent
POL796404,2021-05-26,2023-08-30,2023-10-02,2-09819,annulé,akwaba,courtier
POL862884,2024-05-26,2025-04-25,2025-05-20,SES 279,expiré,akwaba,agent
POL678312,2021-11-09,2024-06-02,2025-01-03,9J 31345,annulé,akwaba,agent
POL125172,2020-07-05,2023-10-08,2024-12-13,AKF 442,annulé,akwaba,agent
POL551159,2023-12-13,2024-11-14,2025-08-31,JNB-095,suspendu,yako,direct
POL548459,2024-08-12,2024-09-23,2025-05-13,97N 140,valide,akwaba,agent
POL173684,2021-02-06,2022-08-04,2024-07-04,0B 82876,suspendu,yako,courtier
POL180513,2021-07-12,2024-01-29,2024-10-12,0V 1V5TRC,annulé,akwaba,agent
POL349099,2021-08-01,2025-05-06,2025-05-10,Y41-92R,valide,akwaba,direct
POL093658,2023-12-07,2025-06-06,2025-07-10,PHB 292,suspendu,yako,courtier
POL926015,2022-03-18,2023-05-02,2025-06-11,KYU Z78,valide,akwaba,agent
POL694417,2021-09-25,2024-07-13,2024-07-19,TTG 677,suspendu,yako,courtier
POL970388,2021-10-20,2024-01-02,2024-12-09,9B577,suspendu,yako,agent
POL600603,2021-09-29,2023-08-14,2024-07-24,4E 98981,annulé,akwaba,courtier
POL215511,2022-10-02,2024-03-11,2024-10-24,384 HAM,suspendu,akwaba,courtier
POL709520,2020-12-12,2022-09-17,2023-04-23,RM 1709,expiré,yako,agent
POL349033,2023-09-03,2024-03-23,2024-09-15,774-JKV,suspendu,yako,courtier
POL960490,2024-08-13,2025-02-22,2025-07-13,511 0EQ,annulé,yako,direct
POL095720,2023-03-04,2025-03-30,2025-06-30,QXR-1814,valide,yako,direct
POL543547,2021-01-01,2024-08-03,2024-08-16,JKM 0788,suspendu,yako,direct
