numero_police,date_edition,date_effet,date_echeance,numero_immatriculation,statut_contrat,entite,type_intermediaire
POL919844,2023-12-14,2024-09-05,2025-03-14,2R 1H0ZVY,expiré,akwaba,agent
POL568913,2020-10-29,2023-11-13,2024-01-28,463 FEF,annulé,yako,direct
POL676134,2022-07-19,2023-01-06,2023-04-15,ZVR 762,annulé,yako,agent
POL165508,2022-07-18,2025-05-31,2025-08-30,JGD P98,annulé,yako,direct
POL380558,2020-03-04,2020-08-04,2025-05-29,G29 8BY,annulé,yako,direct
POL539453,2020-11-09,2021-12-30,2024-10-17,809 YY7,expiré,akwaba,agent
POL436431,2022-05-31,2023-10-21,2025-01-20,X53-EWT,valide,yako,direct
POL472397,2021-08-03,2022-03-14,2023-12-18,OKD V37,valide,akwaba,agent
POL584747,2022-10-27,2023-06-17,2023-11-15,ALW-860,valide,yako,agent
POL066398,2020-10-27,2022-06-29,2025-02-03,50S 7080,valide,akwaba,direct
POL858550,2021-11-29,2025-05-05,2025-07-21,526-UTQ,suspendu,yako,direct
POL518713,2022-07-11,2024-12-19,2025-08-01,MAQ 403,expiré,akwaba,direct
POL044412,2023-03-03,2025-06-01,2025-07-02,550 0OQ,suspendu,akwaba,agent
POL211005,2020-04-24,2025-06-23,2025-08-06,098-INU,expiré,akwaba,direct
POL716674,2021-02-06,2025-08-22,2025-08-22,36-5880V,annulé,akwaba,direct
POL603211,2022-09-25,2024-10-29,2025-07-24,016V5,valide,akwaba,courtier
POL327260,2020-04-15,2020-11-29,2024-05-13,C47-52J,expiré,akwaba,direct
POL154706,2020-12-11,2022-07-30,2022-11-20,692-DSRP,suspendu,akwaba,direct
POL590366,2024-09-14,2025-06-12,2025-06-21,53-K608,annulé,akwaba,agent
POL339968,2020-10-16,2025-03-01,2025-03-29,OIP1127,suspendu,yako,courtier
POL884282,2020-05-29,2023-07-12,2024-09-19,5-9061P,valide,akwaba,agent
POL868609,2020-01-21,2020-09-08,2025-08-26,FJK 679,annulé,akwaba,direct
POL774868,2020-11-27,2022-03-19,2023-09-18,ZMO-7392,annulé,akwaba,agent
POL095217,2020-08-12,2024-12-06,2025-04-18,82Z 998,valide,yako,agent
POL162808,2021-06-01,2023-07-22,2024-11-05,DGU 4513,valide,yako,direct
POL573995,2022-12-04,2024-04-18,2025-09-01,605 AIA,annulé,akwaba,courtier
POL935245,2021-07-25,2024-09-22,2024-10-26,1-9861Z,suspendu,akwaba,agent
POL378598,2020-07-11,2024-05-23,2024-07-26,480 AHK,annulé,yako,courtier
POL559479,2020-06-24,2022-01-09,2023-10-24,346 7SN,suspendu,akwaba,agent
POL816091,2021-04-10,2024-08-13,2025-04-14,038 7BG,expiré,akwaba,agent
POL192354,2023-12-21,2024-02-25,2024-06-26,0HAZ916,expiré,akwaba,courtier
POL184866,2022-04-11,2024-10-19,2025-01-06,2SU 871,suspendu,akwaba,courtier
POL909341,2023-09-13,2025-04-16,2025-04-27,750-EDW,annulé,yako,courtier
POL609770,2022-08-27,2025-02-11,2025-06-06,91M V40,annulé,akwaba,courtier
POL441443,2020-10-20,2021-04-01,2024-01-17,14-UU63,annulé,akwaba,direct
POL549004,2021-12-24,2024-06-06,2025-01-28,03C CA1,annulé,yako,courtier
POL379491,2023-11-08,2025-06-01,2025-07-05,CWM-177,expiré,yako,direct
POL167875,2020-07-29,2023-10-27,2024-10-06,L60 8OV,valide,akwaba,courtier
POL801824,2023-04-22,2024-08-03,2024-10-10,GQJ 421,suspendu,yako,courtier
POL152178,2023-04-22,2023-11-07,2025-03-31,M25 3PU,suspendu,akwaba,agent
POL673466,2022-04-19,2023-12-02,2025-04-01,49-3175X,valide,akwaba,agent
POL411033,2023-09-03,2025-07-15,2025-07-27,5-V3176,suspendu,akwaba,agent
POL334589,2020-02-15,2025-06-03,2025-07-18,69B Y96,valide,akwaba,agent
POL598639,2024-07-15,2024-11-05,2025-08-18,464-TID,valide,akwaba,courtier
POL418313,2021-02-11,2023-08-03,2024-08-22,TDE 319,valide,yako,agent
POL132796,2023-11-03,2024-04-19,2025-05-18,LVL 793,annulé,yako,direct
POL525699,2020-08-16,2022-07-13,2024-09-24,UIU G15,expiré,akwaba,agent
POL160679,2020-10-28,2021-06-30,2024-12-23,4OM3941,expiré,yako,direct
POL625263,2024-08-28,2025-07-14,2025-09-21,065204,annulé,akwaba,agent
POL578041,2023-06-24,2024-09-27,2025-05-22,5YO 624,valide,yako,direct
POL370675,2020-05-12,2022-03-02,2023-12-01,VEU-7165,valide,akwaba,direct
POL520595,2020-06-20,2022-08-08,2022-09-04,KRZ 850,annulé,akwaba,courtier
POL328904,2020-02-15,2023-06-12,2025-09-24,040-SGS,valide,yako,courtier
POL013288,2021-12-23,2023-02-09,2023-03-31,718 2884,annulé,akwaba,courtier
POL840096,2021-09-24,2024-07-05,2024-09-11,M76 6QH,suspendu,akwaba,direct
POL240797,2022-04-18,2022-07-30,2024-10-09,8Z 65421,expiré,akwaba,agent
POL152016,2023-03-05,2023-11-12,2025-01-21,878CL,annulé,yako,direct
POL641040,2024-01-25,2025-01-01,2025-02-24,ZXA 041,expiré,akwaba,courtier
POL100481,2020-09-09,2023-01-10,2024-08-18,OXK-780,annulé,akwaba,agent
POL961116,2020-05-09,2021-12-12,2022-10-08,06-31242,suspendu,yako,direct
POL790898,2022-03-16,2025-05-22,2025-09-07,MUK 521,expiré,yako,agent
POL880017,2021-06-20,2022-06-22,2024-11-14,J87-81R,valide,yako,agent
POL595207,2019-09-30,2020-04-20,2025-06-23,273 CZI,valide,yako,agent
POL771263,2022-11-27,2023-02-21,2023-11-28,LLO 972,annulé,yako,courtier
POL540228,2024-01-14,2025-06-18,2025-07-20,W 086070,valide,akwaba,direct
POL003026,2020-12-12,2022-04-04,2023-04-12,0H D1775,valide,akwaba,courtier
POL542345,2019-09-30,2024-01-07,2025-03-14,8KK S64,valide,akwaba,direct
POL466949,2019-11-27,2023-03-21,2025-03-11,1W140,valide,yako,direct
POL840976,2022-11-21,2024-08-18,2025-06-10,82-PR86,expiré,akwaba,direct
POL348067,2023-05-17,2024-08-12,2024-12-25,96-A567,suspendu,yako,courtier
POL159138,2020-03-07,2020-07-12,2025-05-11,106-JIR,expiré,yako,agent
POL863282,2020-06-25,2021-12-09,2025-04-11,ZVF-584,annulé,yako,direct
POL246475,2022-07-09,2023-12-05,2025-05-20,4IA8556,suspendu,akwaba,courtier
POL801427,2022-11-18,2024-02-16,2025-07-12,K 671008,annulé,yako,courtier
POL327243,2022-05-09,2023-04-24,2024-09-08,QKW 580,expiré,yako,courtier
POL024825,2021-01-16,2025-03-16,2025-09-10,248 WDK,expiré,yako,courtier
POL105809,2020-01-20,2023-05-09,2023-05-16,742 OWF,suspendu,akwaba,courtier
POL589112,2020-08-25,2021-07-13,2023-12-11,7-04978S,suspendu,yako,courtier
POL469636,2022-04-27,2022-10-10,2025-02-03,00K•900,valide,akwaba,agent
POL746700,2019-10-02,2020-03-14,2020-09-19,I52-01M,annulé,yako,agent
POL209231,2022-01-08,2022-12-14,2023-12-23,558-LZC,annulé,akwaba,direct
POL113259,2021-12-11,2023-07-27,2025-09-17,MHG-681,annulé,akwaba,courtier
POL463626,2022-12-31,2024-09-11,2024-10-03,763 5BJ,suspendu,yako,courtier
POL764499,2020-05-14,2024-05-10,2025-09-11,07M U62,valide,akwaba,direct
POL005527,2024-08-16,2024-10-20,2025-06-12,9J 14567,suspendu,akwaba,direct
POL838962,2023-11-02,2025-02-08,2025-02-25,153 OVP,annulé,yako,courtier
POL337058,2019-11-19,2023-06-21,2025-05-06,379 WDY,suspendu,yako,agent
POL832518,2024-07-04,2025-08-31,2025-09-13,285Y,annulé,akwaba,courtier
POL980769,2020-05-18,2021-10-01,2025-04-22,235 7335,valide,yako,direct
POL383848,2023-02-08,2025-03-26,2025-07-23,QS0 Q0S,valide,yako,agent
POL210240,2021-05-25,2025-02-27,2025-05-10,P66 0LT,annulé,yako,courtier
POL336270,2024-07-18,2025-04-19,2025-06-22,4UY8788,expiré,yako,direct
POL591234,2023-04-02,2023-05-15,2024-08-29,N29 3ZB,suspendu,akwaba,agent
POL615976,2021-12-28,2024-06-10,2025-02-01,8D 7940E,expiré,akwaba,courtier
POL277040,2020-01-24,2024-08-09,2024-09-02,F33-IKL,suspendu,yako,direct
POL309715,2023-10-21,2025-02-08,2025-07-10,66M•755,suspendu,yako,courtier
POL361852,2024-07-28,2024-12-10,2025-07-17,4-54856,suspendu,akwaba,courtier
POL289534,2021-05-16,2023-03-08,2024-06-09,802 7GI,annulé,yako,courtier
POL345735,2022-11-30,2023-07-23,2025-04-21,5DH K53,suspendu,akwaba,direct
POL714207,2024-08-14,2024-11-15,2025-07-19,815-BJC,annulé,akwaba,courtier
POL387313,2023-02-12,2023-06-20,2024-02-13,MXW 966,suspendu,akwaba,courtier
POL541393,2020-08-01,2021-11-20,2025-03-11,337I,expiré,yako,direct
POL820481,2020-11-25,2024-12-27,2025-09-09,VCC6249,valide,akwaba,courtier
POL010914,2020-11-22,2022-05-27,2024-12-29,R33-20J,expiré,yako,agent
POL098529,2021-12-07,2023-07-16,2025-06-26,079 WIC,valide,yako,courtier
POL340364,2021-12-26,2023-10-05,2025-07-09,131 VZ3,expiré,yako,courtier
POL430972,2024-06-19,2024-10-31,2024-11-28,480EYN,expiré,yako,courtier
POL293598,2023-11-22,2025-06-07,2025-09-21,260-OLV,suspendu,akwaba,courtier
POL475994,2020-03-15,2021-06-08,2024-11-01,035 JW7,suspendu,yako,courtier
POL824803,2023-04-06,2024-03-24,2025-05-31,912-BIL,annulé,yako,agent
POL505620,2022-02-26,2025-09-24,2025-09-24,584 YZY,expiré,yako,direct
POL715510,2023-12-28,2025-07-25,2025-08-19,16-8942T,expiré,yako,courtier
POL602239,2024-06-15,2025-02-28,2025-09-19,238-BVU,annulé,akwaba,agent
POL245611,2022-05-18,2023-01-11,2024-08-03,AP-7409,valide,akwaba,courtier
POL026375,2024-02-27,2025-04-12,2025-08-30,3C600,annulé,yako,courtier
POL165986,2020-01-28,2022-03-07,2023-07-04,047H,annulé,akwaba,direct
POL593512,2023-11-03,2024-01-27,2024-04-06,URH-1065,valide,akwaba,courtier
POL198324,2020-04-15,2021-03-25,2022-03-06,7B366,expiré,yako,agent
POL947523,2023-11-15,2024-03-01,2025-09-17,70NP265,valide,yako,courtier
POL113891,2023-04-24,2023-06-02,2023-07-11,HWG 113,annulé,yako,agent
POL977354,2023-05-23,2024-09-21,2025-04-23,692168,annulé,yako,courtier
POL514392,2022-05-10,2025-03-15,2025-03-22,VS8 Y1L,valide,yako,courtier
POL279083,2020-09-24,2021-11-10,2025-01-12,155 IXP,expiré,yako,agent
POL391929,2022-10-19,2023-07-02,2025-07-26,STA 771,annulé,akwaba,courtier
POL987695,2024-08-01,2025-08-14,2025-09-09,N60-40F,suspendu,akwaba,agent
POL232374,2020-08-15,2024-05-23,2025-01-30,QVN-294,expiré,akwaba,agent
POL621234,2024-09-18,2024-12-30,2025-02-24,3-95713,valide,akwaba,agent
POL424242,2021-01-19,2021-02-01,2022-03-02,930 PVN,expiré,akwaba,courtier
POL569619,2021-03-06,2023-11-11,2023-12-02,8-50360Y,expiré,yako,direct
POL928238,2022-05-28,2025-06-07,2025-08-22,0OJ5382,annulé,yako,direct
POL022616,2024-05-07,2025-04-19,2025-08-07,NJL-7506,annulé,akwaba,agent
POL393558,2022-09-14,2025-02-27,2025-05-05,59-95702,annulé,yako,agent
POL552300,2023-09-04,2025-02-26,2025-03-29,7FM C28,suspendu,yako,agent
POL758486,2021-12-23,2025-06-14,2025-07-25,240 6LP,expiré,akwaba,agent
POL127336,2023-11-16,2023-12-05,2024-09-17,RZQ8315,suspendu,yako,courtier
POL713023,2021-07-05,2024-10-28,2025-07-18,OQG 585,annulé,akwaba,courtier
POL634510,2020-05-06,2025-03-05,2025-07-26,2-50699E,annulé,akwaba,courtier
POL404219,2020-03-14,2021-06-06,2023-12-14,7XI 444,suspendu,akwaba,courtier
POL068457,2022-03-03,2022-09-24,2024-05-09,HOO 901,expiré,akwaba,agent
POL700052,2022-06-11,2025-04-20,2025-05-20,112-LBA,suspendu,yako,agent
POL990630,2022-08-18,2025-09-10,2025-09-20,13S H25,expiré,yako,courtier
POL629450,2023-04-18,2023-06-10,2024-12-20,LNW 903,expiré,akwaba,agent
POL340442,2023-08-17,2025-02-09,2025-05-09,593 QCA,valide,akwaba,direct
POL476634,2022-04-24,2023-06-06,2024-08-15,867 XHF,suspendu,yako,courtier
POL441940,2021-05-21,2022-12-18,2023-01-30,ML 2785,suspendu,yako,agent
POL327910,2024-03-03,2025-09-09,2025-09-11,72Y FT0,valide,yako,direct
POL646214,2024-01-02,2024-08-09,2025-08-20,6AU 591,annulé,yako,courtier
POL405628,2020-06-20,2024-11-24,2025-01-26,HGW 073,suspendu,yako,agent
POL027389,2021-06-20,2022-09-02,2022-09-10,FT7 R5R,suspendu,yako,direct
POL469250,2020-04-06,2022-04-19,2023-04-20,5J 45309,valide,akwaba,direct
POL998241,2023-01-31,2025-05-11,2025-07-14,2AP5178,valide,yako,agent
POL508519,2020-03-28,2025-06-27,2025-08-19,50-61063,annulé,yako,agent
POL052113,2021-02-26,2023-02-20,2024-09-23,RU6 7760,suspendu,yako,courtier
POL391710,2021-05-18,2023-05-29,2024-07-23,U35-48E,valide,yako,direct
POL573613,2021-08-28,2025-04-01,2025-08-29,PCL-400,valide,yako,courtier
POL187651,2021-12-21,2023-11-06,2025-07-13,724 KRR,valide,yako,direct
POL903911,2023-03-06,2024-04-12,2025-03-24,YUS-310,expiré,akwaba,direct
POL228567,2020-07-20,2023-10-31,2024-11-13,K 696165,valide,akwaba,direct
POL475527,2022-12-04,2024-04-04,2024-06-23,HAD 238,suspendu,akwaba,agent
POL644428,2020-12-25,2025-06-06,2025-08-07,DWR-6812,valide,akwaba,agent
POL279330,2020-08-26,2022-02-26,2022-11-02,QYI-5111,expiré,akwaba,direct
POL068698,2023-03-22,2024-03-31,2024-05-18,YE-7653,expiré,akwaba,agent
POL250559,2023-04-21,2025-01-17,2025-05-28,24-92331,expiré,yako,agent
POL862967,2021-11-18,2024-03-21,2024-08-15,547-JGS,expiré,yako,courtier
POL465345,2024-04-06,2025-04-17,2025-06-07,QRF6130,annulé,yako,direct
POL607744,2022-11-17,2024-02-04,2024-02-22,325 GVO,annulé,yako,direct
POL737489,2021-09-11,2022-05-10,2022-09-06,829-NGQ,annulé,yako,courtier
POL407669,2024-08-27,2025-02-05,2025-02-18,152-ZGE,expiré,akwaba,agent
POL310275,2020-10-27,2023-07-15,2024-09-07,W18-MGM,valide,akwaba,courtier
POL105133,2023-09-20,2024-05-06,2024-05-13,WPB 566,suspendu,yako,courtier
POL375397,2021-03-22,2024-06-19,2024-11-03,9O SK384,valide,akwaba,courtier
POL935841,2021-08-16,2024-07-08,2025-03-18,LTW2913,annulé,akwaba,direct
POL218769,2020-01-21,2020-09-30,2025-08-02,0US N95,suspendu,akwaba,agent
POL260965,2020-09-10,2022-05-24,2023-01-22,3BZ 992,valide,akwaba,direct
POL456714,2023-01-14,2024-12-01,2024-12-19,FXR 188,suspendu,yako,agent
POL408060,2021-01-26,2023-09-10,2025-01-25,K70 3TG,expiré,yako,agent
POL707642,2020-06-13,2021-04-23,2023-12-22,610NPM,suspendu,akwaba,agent
POL985502,2023-07-08,2024-10-13,2025-03-27,88P ZA1,annulé,yako,agent
POL230653,2021-05-20,2022-02-21,2024-12-01,BD5 8823,expiré,yako,agent
POL464319,2022-02-10,2024-03-26,2024-08-11,KF 7977,valide,akwaba,courtier
POL964194,2024-04-07,2025-02-15,2025-08-26,MJ5 6232,suspendu,akwaba,courtier
POL038906,2023-12-16,2024-08-31,2024-12-27,4P213,expiré,yako,agent
POL501490,2022-06-04,2024-02-12,2024-06-14,29VH2,valide,akwaba,direct
POL101646,2021-11-16,2022-12-26,2022-12-30,874-STU,expiré,akwaba,agent
POL220588,2020-08-23,2021-11-23,2025-08-24,891-LKT,valide,akwaba,direct
POL647055,2022-03-22,2022-08-13,2024-01-20,KGO-7478,suspendu,yako,courtier
POL742034,2022-12-06,2024-08-05,2025-07-11,327 ONR,expiré,akwaba,direct
POL788380,2021-11-08,2024-11-17,2025-05-05,EPK Q39,expiré,akwaba,direct
POL500427,2021-03-01,2025-03-28,2025-07-16,552-ZOR,expiré,akwaba,agent
POL971263,2022-10-06,2025-07-19,2025-08-09,LHO-1936,suspendu,akwaba,courtier
POL577317,2023-01-26,2023-07-21,2025-04-29,048CFY,expiré,yako,direct
POL348992,2021-10-25,2022-01-10,2022-08-18,ZXE 958,valide,yako,courtier
POL078441,2022-02-13,2024-11-09,2024-11-25,66-NW19,valide,yako,courtier
POL623212,2021-09-30,2024-09-12,2025-06-08,171 YNH,valide,yako,direct
POL764792,2022-01-22,2025-03-22,2025-04-14,XHF A43,valide,yako,direct
POL167161,2021-07-31,2024-09-03,2024-11-20,3FU 661,expiré,yako,courtier
POL965076,2024-06-15,2025-02-15,2025-07-16,144 LZZ,annulé,yako,direct
POL556752,2021-09-21,2022-03-21,2022-05-17,5JA S54,annulé,yako,courtier
POL463572,2022-08-23,2025-04-02,2025-08-11,AJG-9660,expiré,yako,direct
POL064848,2021-08-31,2022-02-01,2024-02-15,2P E5290,valide,akwaba,agent
POL612746,2023-10-16,2024-01-31,2025-02-25,037 3850,annulé,yako,agent
POL846442,2022-08-13,2025-08-11,2025-09-12,13I E05,suspendu,akwaba,direct
POL198953,2019-12-12,2024-07-18,2025-07-07,5XM 972,valide,akwaba,direct
POL061128,2021-08-27,2023-02-11,2024-08-15,830 NWJ,valide,yako,agent
POL870307,2022-10-12,2023-11-27,2025-08-24,HGR 698,valide,yako,agent
POL100441,2024-03-14,2024-11-05,2024-11-10,WK8 6707,suspendu,yako,courtier
POL638686,2023-10-04,2024-06-07,2025-03-19,929-CIV,expiré,akwaba,direct
POL373667,2023-04-04,2025-03-04,2025-04-08,606 END,suspendu,akwaba,direct
POL622607,2022-01-20,2024-02-12,2024-05-04,MZI 579,expiré,akwaba,courtier
POL256319,2023-03-15,2023-04-30,2024-12-13,5NG87,valide,yako,courtier
