numero_police,date_edition,date_effet,date_echeance,numero_immatriculation,statut_contrat,entite,type_intermediaire,prime_nette,date_creation
POL987370,2024-01-01,2025-01-23,2025-01-27,500-UGB,suspendu,SUNU,banque assurance,1244622,29-09-20242019
POL104570,2023-02-28,2024-11-10,2025-07-03,HFL 998,annulé,SUNU,courtier,4272152,29-09-20242019
POL621903,2023-10-23,2025-07-02,2025-08-25,Z73-52K,suspendu,LEADWAY,bureau direct,1427298,29-09-20242019
POL611200,2022-12-24,2024-12-19,2025-08-05,OOU5427,suspendu,NSIA,courtier,2195500,29-09-20242019
POL420774,2020-07-31,2022-11-28,2024-10-15,HUG 144,annulé,SUNU,banque assurance,236344,29-09-20242019
POL192472,2019-11-09,2025-06-26,2025-09-03,MNF 420,valide,SUNU,courtier,2489316,29-09-20242019
POL590422,2022-11-21,2023-05-30,2024-08-02,RY-8795,annulé,LEADWAY,bureau direct,4384386,29-09-20242019
POL084823,2024-01-13,2025-01-01,2025-07-21,500 UIQ,suspendu,LEADWAY,bureau direct,725217,29-09-20242019
POL794134,2023-03-04,2025-08-17,2025-08-28,448 JVF,valide,LEADWAY,bureau direct,3450373,29-09-20242019
POL178498,2022-05-29,2023-12-15,2024-09-19,LVZ 716,expiré,LEADWAY,agent generale,4741354,29-09-20242019
POL335530,2023-08-06,2023-10-29,2024-12-04,5-22996V,annulé,LEADWAY,banque assurance,1410167,29-09-20242019
POL358582,2021-03-05,2022-08-04,2024-12-19,7NW03,valide,LEADWAY,agent generale,3728716,29-09-20242019
POL427342,2021-12-26,2023-03-23,2023-05-03,1ZD 098,expiré,NSIA,banque assurance,1068946,29-09-20242019
POL368371,2023-09-19,2025-05-12,2025-06-24,VIY-085,suspendu,SUNU,agent generale,4258746,29-09-20242019
POL197394,2023-04-16,2024-01-29,2025-06-29,7FTP 51,valide,NSIA,bureau direct,4796280,29-09-20242019
POL824387,2021-09-09,2022-04-20,2023-03-26,V 372966,expiré,LEADWAY,banque assurance,4850708,29-09-20242019
POL858238,2022-10-07,2024-08-26,2024-11-12,535 MFV,suspendu,LEADWAY,agent generale,3336724,29-09-20242019
POL958048,2021-12-02,2024-01-30,2024-09-25,400-EUIJ,annulé,LEADWAY,agent generale,3983831,29-09-20242019
POL071165,2020-03-26,2021-11-24,2022-03-15,EN 27357,annulé,LEADWAY,bureau direct,4448465,29-09-20242019
POL692853,2023-10-21,2025-01-31,2025-09-04,QVX-9698,valide,NSIA,courtier,3837752,29-09-20242019
POL589116,2020-09-30,2024-01-16,2024-05-04,CZG 560,expiré,LEADWAY,bureau direct,4520194,29-09-20242019
POL600084,2021-03-04,2022-06-13,2022-10-10,LEB 375,suspendu,LEADWAY,courtier,2529857,29-09-20242019
POL936683,2023-11-26,2025-07-19,2025-08-09,4-39155Q,valide,LEADWAY,courtier,240332,29-09-20242019
POL032997,2024-04-15,2024-06-04,2024-11-09,48-K432,suspendu,LEADWAY,courtier,2312970,29-09-20242019
POL041512,2021-11-14,2025-05-01,2025-09-03,HOA 308,valide,LEADWAY,agent generale,287550,29-09-20242019
POL550844,2021-09-14,2025-03-30,2025-09-01,GXB-6948,expiré,LEADWAY,agent generale,563812,29-09-20242019
POL074229,2024-07-28,2025-04-12,2025-08-21,6XP2698,expiré,SUNU,bureau direct,1529754,29-09-20242019
POL727082,2020-04-16,2023-01-27,2024-01-09,19Z 0331,valide,SUNU,agent generale,660519,29-09-20242019
POL602138,2021-08-02,2025-01-03,2025-09-28,RMR-187,valide,SUNU,bureau direct,2132731,29-09-20242019
POL001423,2023-10-21,2025-09-28,2025-09-28,DD3 6578,suspendu,NSIA,banque assurance,2097730,29-09-20242019
POL519154,2019-09-29,2021-09-05,2024-10-04,144 RLD,expiré,SUNU,courtier,2337107,29-09-20242019
POL046758,2022-11-18,2022-12-24,2024-01-12,R63-ESK,suspendu,NSIA,bureau direct,1524520,29-09-20242019
POL384131,2021-06-03,2024-08-29,2025-05-21,UZF3210,suspendu,SUNU,bureau direct,446876,29-09-20242019
POL379473,2023-12-05,2024-12-31,2025-05-02,NV 02907,annulé,SUNU,bureau direct,3009813,29-09-20242019
POL835067,2024-08-11,2025-09-09,2025-09-16,207 BHE,expiré,NSIA,bureau direct,3785905,29-09-20242019
POL878976,2019-12-04,2023-04-10,2023-07-10,998 SGJ,valide,LEADWAY,bureau direct,965840,29-09-20242019
POL999052,2023-03-21,2025-01-09,2025-03-20,6XR H09,valide,LEADWAY,banque assurance,3640487,29-09-20242019
POL520781,2024-08-23,2025-03-16,2025-08-16,9A055,expiré,NSIA,banque assurance,3070944,29-09-20242019
POL792807,2023-03-12,2025-03-30,2025-05-08,78-K949,annulé,NSIA,bureau direct,1647209,29-09-20242019
POL848086,2022-07-31,2024-05-01,2025-05-31,1940 YV,suspendu,NSIA,bureau direct,3807467,29-09-20242019
POL407264,2020-12-05,2021-06-12,2025-06-11,812VSG,suspendu,NSIA,bureau direct,4500590,29-09-20242019
POL914217,2023-04-29,2024-11-14,2025-01-31,354-FLVN,suspendu,NSIA,bureau direct,390174,29-09-20242019
POL502643,2020-08-01,2024-01-13,2024-07-01,N 450993,annulé,SUNU,banque assurance,1920405,29-09-20242019
POL472990,2024-03-13,2024-06-20,2025-04-09,68-KS82,valide,NSIA,courtier,1094390,29-09-20242019
POL494509,2020-08-14,2020-11-20,2025-08-01,KHR8998,annulé,SUNU,bureau direct,2112979,29-09-20242019
POL541712,2024-05-26,2025-07-01,2025-07-28,4XR88,valide,NSIA,banque assurance,3969320,29-09-20242019
POL054508,2023-12-15,2024-04-13,2024-12-20,CIV 5169,suspendu,LEADWAY,banque assurance,4671438,29-09-20242019
POL000016,2024-04-26,2025-06-18,2025-08-22,M68 7ZS,suspendu,SUNU,banque assurance,1791402,29-09-20242019
POL632707,2023-07-01,2024-11-12,2025-07-27,42F I27,valide,SUNU,bureau direct,119032,29-09-20242019
POL101662,2023-04-06,2023-10-02,2025-01-19,6PBF975,suspendu,SUNU,courtier,4065904,29-09-20242019
POL905544,2022-07-10,2023-07-06,2023-08-25,378-DND,annulé,SUNU,agent generale,1313575,29-09-20242019
POL103528,2023-11-08,2024-04-05,2024-11-06,1-9630R,annulé,LEADWAY,courtier,3909886,29-09-20242019
POL768068,2022-03-29,2023-07-17,2025-02-13,8-08237C,annulé,LEADWAY,agent generale,2156762,29-09-20242019
POL603788,2021-10-08,2025-01-31,2025-05-08,ESY 325,suspendu,SUNU,banque assurance,4231618,29-09-20242019
POL829245,2020-12-28,2024-04-02,2025-04-29,4T 0N4HQU,valide,NSIA,agent generale,1615135,29-09-20242019
POL864045,2021-04-28,2022-01-21,2022-09-07,9DV 959,suspendu,LEADWAY,courtier,1684986,29-09-20242019
POL326229,2023-03-04,2024-08-13,2024-12-14,2-9694F,valide,NSIA,bureau direct,542967,29-09-20242019
POL201391,2021-11-09,2025-05-05,2025-08-08,1-6612C,valide,NSIA,courtier,4141482,29-09-20242019
POL034828,2022-12-22,2024-06-25,2024-09-05,ZZC N14,annulé,SUNU,bureau direct,1990950,29-09-20242019
POL567783,2020-04-02,2023-06-25,2025-03-15,986-BXT,suspendu,NSIA,agent generale,1296170,29-09-20242019
POL301047,2022-03-25,2024-04-19,2025-03-13,XOE 4611,expiré,LEADWAY,agent generale,3033539,29-09-20242019
POL719920,2020-11-01,2021-08-28,2025-02-04,NQF8410,annulé,SUNU,banque assurance,4208540,29-09-20242019
POL131205,2023-07-30,2025-03-20,2025-06-03,0QLJ 22,expiré,SUNU,bureau direct,3579152,29-09-20242019
POL740749,2024-03-27,2025-01-03,2025-07-28,WVT1024,annulé,SUNU,bureau direct,254222,29-09-20242019
POL796647,2020-06-09,2024-11-05,2025-05-12,POP 795,annulé,LEADWAY,bureau direct,4399488,29-09-20242019
POL129097,2019-10-16,2021-04-07,2022-11-02,SDK 8505,expiré,NSIA,agent generale,1507272,29-09-20242019
POL855479,2023-03-17,2024-06-17,2025-03-15,2-M8841,suspendu,NSIA,bureau direct,3548137,29-09-20242019
POL287806,2022-04-09,2023-05-08,2024-01-08,0O 4N3VWO,valide,SUNU,bureau direct,714424,29-09-20242019
POL712394,2020-08-31,2025-05-03,2025-08-17,805141,valide,NSIA,courtier,445799,29-09-20242019
POL089587,2021-10-02,2022-10-09,2025-08-31,60G KH3,annulé,LEADWAY,courtier,1498053,29-09-20242019
POL263799,2022-04-19,2025-07-16,2025-08-13,CW4 Z2W,suspendu,SUNU,bureau direct,1573822,29-09-20242019
POL184033,2022-09-24,2023-12-07,2025-04-05,T 017520,suspendu,SUNU,banque assurance,1717491,29-09-20242019
POL340644,2021-04-23,2024-01-26,2024-09-25,WYY-4781,suspendu,NSIA,agent generale,2111709,29-09-20242019
POL764775,2021-03-08,2021-11-16,2023-09-07,HUY-133,valide,SUNU,bureau direct,4651863,29-09-20242019
POL909069,2024-05-16,2025-01-31,2025-03-27,95-2524K,expiré,NSIA,bureau direct,3709693,29-09-20242019
POL753888,2023-11-14,2024-05-07,2024-05-28,IO 6962,valide,LEADWAY,banque assurance,241784,29-09-20242019
POL642220,2020-09-08,2023-03-30,2024-10-20,MJJ3754,suspendu,NSIA,bureau direct,4268359,29-09-20242019
POL463160,2020-07-14,2025-01-28,2025-07-26,XIC I90,valide,SUNU,courtier,851050,29-09-20242019
POL725967,2024-01-23,2024-04-30,2025-06-22,200HQM,annulé,LEADWAY,bureau direct,2143151,29-09-20242019
POL691312,2024-01-12,2024-03-19,2024-10-06,2X XS345,annulé,LEADWAY,courtier,913366,29-09-20242019
POL697188,2020-08-30,2023-11-02,2024-09-28,8Z 53817,annulé,NSIA,agent generale,2365267,29-09-20242019
POL046562,2020-02-16,2022-05-05,2022-12-17,WJV 380,expiré,SUNU,bureau direct,1598377,29-09-20242019
POL370824,2020-04-26,2025-03-16,2025-08-25,M14-49D,expiré,SUNU,courtier,2993148,29-09-20242019
POL775018,2020-12-01,2022-06-14,2025-01-12,27W 9493,suspendu,LEADWAY,bureau direct,2542589,29-09-20242019
POL595422,2019-11-15,2024-03-16,2025-09-02,360H7,valide,NSIA,bureau direct,742625,29-09-20242019
POL926925,2020-09-18,2025-08-15,2025-08-15,9835 YS,valide,SUNU,bureau direct,2103411,29-09-20242019
POL695321,2021-12-30,2024-01-02,2025-02-26,56-8841D,annulé,LEADWAY,bureau direct,945805,29-09-20242019
POL089388,2020-01-07,2021-03-30,2023-01-21,DFI-2563,suspendu,LEADWAY,banque assurance,1284795,29-09-20242019
POL179587,2020-09-23,2023-05-11,2024-10-29,93IJ959,valide,NSIA,banque assurance,1773097,29-09-20242019
POL537708,2021-01-09,2025-09-24,2025-09-27,52H S04,suspendu,NSIA,courtier,2634462,29-09-20242019
POL812903,2022-01-05,2023-08-04,2025-04-25,HYH 527,expiré,LEADWAY,banque assurance,2742512,29-09-20242019
POL249791,2020-01-26,2025-03-04,2025-09-21,54X D61,suspendu,SUNU,courtier,1721533,29-09-20242019
POL290490,2022-08-01,2024-05-28,2025-05-20,NVA-228,suspendu,LEADWAY,courtier,714165,29-09-20242019
POL991846,2024-01-30,2024-10-01,2025-07-10,0QO R77,annulé,LEADWAY,courtier,3339378,29-09-20242019
POL659525,2022-10-23,2022-12-30,2023-02-13,913-RNP,expiré,LEADWAY,banque assurance,2873796,29-09-20242019
POL969964,2024-06-13,2025-09-05,2025-09-07,4972 FB,valide,NSIA,bureau direct,272397,29-09-20242019
POL437385,2021-09-05,2023-12-25,2025-08-21,468 SUL,valide,SUNU,agent generale,441602,29-09-20242019
POL136589,2021-01-04,2024-01-10,2025-03-03,856 USU,expiré,NSIA,agent generale,3338708,29-09-20242019
POL335160,2022-01-15,2024-11-21,2025-07-15,H81 6MY,expiré,LEADWAY,agent generale,4783199,29-09-20242019
POL668158,2023-08-30,2023-09-11,2024-01-30,VCO 916,valide,LEADWAY,banque assurance,1378903,29-09-20242019
POL956637,2023-06-03,2025-08-08,2025-08-13,LJM-329,annulé,NSIA,bureau direct,4554587,29-09-20242019
POL580503,2020-04-11,2022-09-12,2024-05-10,370 XBK,suspendu,LEADWAY,courtier,2246204,29-09-20242019
POL265478,2020-07-14,2021-01-11,2021-01-27,8WBI951,suspendu,NSIA,banque assurance,2692837,29-09-20242019
POL409161,2021-06-04,2023-10-09,2025-01-21,7-9337C,expiré,SUNU,courtier,2269211,29-09-20242019
POL984122,2024-06-09,2025-01-26,2025-09-02,12-37273,suspendu,LEADWAY,courtier,420330,29-09-20242019
POL129652,2022-07-03,2023-06-13,2025-04-28,LSF E35,suspendu,NSIA,bureau direct,3399751,29-09-20242019
POL984856,2022-10-15,2024-05-14,2024-06-17,ZJR 550,suspendu,SUNU,courtier,2467224,29-09-20242019
POL094075,2021-08-19,2021-10-01,2023-07-07,66-GA70,expiré,LEADWAY,bureau direct,3225343,29-09-20242019
POL058866,2021-01-11,2021-08-31,2022-01-04,935 WQZ,annulé,SUNU,banque assurance,60995,29-09-20242019
POL365090,2023-01-22,2024-05-07,2024-10-30,7U 79344,valide,NSIA,banque assurance,3723769,29-09-20242019
POL200975,2021-09-03,2024-04-13,2024-07-20,MZY 050,annulé,SUNU,courtier,3938804,29-09-20242019
POL891850,2023-09-19,2024-11-20,2024-12-10,45-PM52,valide,LEADWAY,courtier,1163044,29-09-20242019
POL684373,2021-03-21,2022-04-07,2025-05-04,HLB 211,expiré,LEADWAY,banque assurance,2006325,29-09-20242019
POL120125,2021-05-16,2025-05-27,2025-09-10,776 GFQ,expiré,SUNU,banque assurance,2609129,29-09-20242019
POL413985,2020-12-28,2024-11-12,2025-02-26,0Y KA814,suspendu,NSIA,agent generale,686110,29-09-20242019
POL306976,2024-03-05,2024-05-08,2025-08-05,029-HKS,valide,SUNU,agent generale,3271916,29-09-20242019
POL924108,2021-12-31,2022-08-01,2024-05-01,TCP-4306,expiré,LEADWAY,courtier,3322241,29-09-20242019
POL120475,2021-10-16,2023-08-13,2024-12-22,6LC 892,annulé,NSIA,agent generale,3276272,29-09-20242019
POL969647,2022-04-24,2023-10-25,2024-03-20,9-1499U,expiré,LEADWAY,bureau direct,958684,29-09-20242019
POL717600,2022-11-06,2023-10-09,2025-07-10,5LF N42,suspendu,SUNU,courtier,3131561,29-09-20242019
POL073546,2024-06-13,2025-05-18,2025-05-27,EW3 N8H,suspendu,LEADWAY,agent generale,4988122,29-09-20242019
POL246690,2024-03-28,2024-04-12,2024-09-26,6XM 744,valide,NSIA,agent generale,4367223,29-09-20242019
POL563729,2021-01-21,2021-04-23,2024-03-10,OY 0053,expiré,LEADWAY,bureau direct,1110766,29-09-20242019
POL153457,2019-11-27,2025-01-13,2025-03-12,559 8GK,annulé,SUNU,banque assurance,1584210,29-09-20242019
POL405840,2023-09-26,2024-04-12,2025-03-25,868-167,expiré,NSIA,agent generale,635551,29-09-20242019
POL426268,2024-04-05,2024-12-12,2025-04-17,35O 175,valide,NSIA,banque assurance,2601143,29-09-20242019
POL860571,2021-02-20,2024-01-17,2025-03-22,UMX 0308,annulé,LEADWAY,agent generale,1008170,29-09-20242019
POL657576,2022-10-11,2024-01-18,2024-04-27,6734 FM,suspendu,SUNU,agent generale,1900464,29-09-20242019
POL629816,2024-06-24,2025-09-07,2025-09-26,SWR 444,suspendu,NSIA,banque assurance,4433536,29-09-20242019
POL892270,2022-10-10,2023-04-27,2025-04-03,3R 56520,annulé,NSIA,courtier,2581210,29-09-20242019
POL607558,2020-02-11,2024-01-11,2024-04-18,DW5 6899,expiré,LEADWAY,courtier,3225379,29-09-20242019
POL143418,2019-12-27,2022-03-31,2025-04-23,BOI-6509,suspendu,NSIA,courtier,4930235,29-09-20242019
POL694934,2023-05-31,2025-03-29,2025-05-15,SH 7961,annulé,NSIA,agent generale,958000,29-09-20242019
POL460976,2023-11-27,2025-09-12,2025-09-18,928-EXC,annulé,NSIA,agent generale,4890462,29-09-20242019
POL257663,2024-07-10,2024-07-27,2025-07-29,034EFO,annulé,LEADWAY,bureau direct,2403020,29-09-20242019
POL851515,2024-04-18,2024-11-01,2025-07-28,4-9749P,annulé,SUNU,bureau direct,2846987,29-09-20242019
POL872127,2021-07-10,2023-03-23,2024-10-30,06JU5,expiré,SUNU,bureau direct,2597157,29-09-20242019
POL567801,2024-02-02,2024-04-14,2024-10-23,3-7077K,suspendu,SUNU,agent generale,2621548,29-09-20242019
POL513170,2023-12-14,2025-08-05,2025-09-28,29B 8998,expiré,SUNU,banque assurance,4255298,29-09-20242019
POL740338,2019-10-24,2024-02-05,2025-04-01,11D M26,expiré,SUNU,agent generale,1893462,29-09-20242019
POL929331,2021-02-22,2024-03-13,2024-08-10,MBT 736,valide,SUNU,bureau direct,433588,29-09-20242019
POL771079,2021-08-27,2021-10-14,2025-01-03,002 JTH,valide,SUNU,banque assurance,2380889,29-09-20242019
POL604602,2020-07-13,2024-06-10,2025-05-16,35E W71,annulé,NSIA,courtier,992422,29-09-20242019
POL263258,2021-08-09,2025-02-24,2025-09-14,OA 68223,annulé,SUNU,banque assurance,1646661,29-09-20242019
POL335703,2022-09-05,2025-01-05,2025-07-23,QCH-9517,suspendu,LEADWAY,agent generale,641625,29-09-20242019
POL864150,2023-02-12,2025-01-13,2025-02-08,H85 4LZ,suspendu,SUNU,courtier,2322919,29-09-20242019
POL533544,2023-05-26,2025-09-03,2025-09-18,75V 453,suspendu,LEADWAY,banque assurance,4258118,29-09-20242019
POL497924,2021-02-27,2022-03-17,2025-05-24,9QG 014,expiré,NSIA,banque assurance,3658781,29-09-20242019
POL854623,2024-06-08,2024-08-16,2024-08-20,KKX-404,expiré,NSIA,bureau direct,1092747,29-09-20242019
POL885189,2020-12-13,2022-10-21,2024-06-02,93C 888,valide,NSIA,banque assurance,993843,29-09-20242019
POL732032,2022-05-25,2025-03-19,2025-06-25,034-EXWN,suspendu,SUNU,banque assurance,4288555,29-09-20242019
